Alias,Women Count,Men Count,Total Voters,Turnout,Perc Turnout,GD Share of the turnout,GD vote count,GD share of the perc turnout,
00.02.59,832,553,1385,1037,0.75,0.36933,383,0.276534296,
00.02.60,865,659,1524,1077,0.71,0.36026,388,0.254593176,
00.02.61,775,593,1368,928,0.68,0.33728,313,0.22880117,
00.02.62,1476,1038,2514,1761,0.7,0.33958,598,0.23786794,
00.02.63,772,581,1353,937,0.69,0.35752,335,0.247597931,
00.02.64,390,321,711,403,0.57,0.32258,130,0.182841069,
00.02.65,727,564,1291,927,0.72,0.41316,383,0.296669249,
00.02.66,742,617,1359,948,0.7,0.36814,349,0.256806475,
00.02.67,1403,1065,2468,1786,0.72,0.34378,614,0.248784441,
00.02.68,815,641,1456,984,0.68,0.3872,381,0.261675824,
00.02.69,986,742,1728,1136,0.66,0.35915,408,0.236111111,
00.02.70,286,283,569,412,0.72,0.37621,155,0.272407733,
00.03.01,1043,782,1825,1263,0.69,0.37292,471,0.258082192,
00.03.02,891,656,1547,1070,0.69,0.43832,469,0.303167421,
00.03.03,863,640,1503,1073,0.71,0.36813,395,0.262807718,
00.03.04,707,604,1311,917,0.7,0.3795,348,0.265446224,
00.03.05,996,688,1684,1111,0.66,0.37984,422,0.250593824,
00.03.06,950,711,1661,1093,0.66,0.40622,444,0.26730885,
00.03.07,865,600,1465,978,0.67,0.38344,375,0.255972696,
00.03.08,804,569,1373,966,0.7,0.43892,424,0.308812819,
00.03.09,713,527,1240,863,0.7,0.3905,337,0.271774194,
00.03.10,821,602,1423,994,0.7,0.37223,370,0.260014055,
00.03.11,692,500,1192,840,0.7,0.425,357,0.299496644,
00.03.12,778,504,1282,916,0.71,0.42576,390,0.304212168,
00.03.13,719,494,1213,937,0.77,0.43223,405,0.333882935,
00.03.14,740,539,1279,922,0.72,0.42082,388,0.303362002,
00.03.15,869,618,1487,1062,0.71,0.42185,448,0.30127774,
00.03.16,853,633,1486,935,0.63,0.36791,344,0.231493943,
00.03.17,1011,738,1749,1130,0.65,0.36637,414,0.23670669,
00.03.18,826,645,1471,938,0.64,0.371,348,0.236573759,
00.03.19,867,699,1566,985,0.63,0.38071,375,0.239463602,
00.03.20,724,571,1295,801,0.62,0.39201,314,0.242471042,
00.03.21,800,552,1352,931,0.69,0.39742,370,0.273668639,
00.03.22,872,536,1408,993,0.71,0.37865,376,0.267045455,
00.03.23,838,591,1429,989,0.69,0.39535,391,0.273617915,
00.03.24,778,644,1422,969,0.68,0.40248,390,0.274261603,
00.03.25,848,697,1545,990,0.64,0.38889,385,0.249190939,
00.03.26,829,603,1432,990,0.69,0.35455,351,0.245111732,
00.03.27,589,466,1055,787,0.75,0.38374,302,0.286255924,
00.03.28,833,554,1387,974,0.7,0.38296,373,0.268925739,
00.03.29,748,572,1320,868,0.66,0.37673,327,0.247727273,
00.03.30,889,590,1479,955,0.65,0.37382,357,0.24137931,
00.03.31,857,581,1438,1046,0.73,0.39101,409,0.284422809,
00.03.32,828,571,1399,951,0.68,0.39327,374,0.26733381,
00.03.33,953,789,1742,1148,0.66,0.41289,474,0.272101033,
00.03.34,874,640,1514,955,0.63,0.39476,377,0.249009247,
00.03.35,1450,1148,2598,1526,0.59,0.47444,724,0.278675905,
00.03.36,808,595,1403,994,0.71,0.35915,357,0.25445474,
00.03.37,1347,952,2299,1602,0.7,0.33208,532,0.231404959,
00.03.38,697,544,1241,827,0.67,0.40629,336,0.270749396,
00.03.39,781,562,1343,973,0.72,0.39466,384,0.285927029,
00.03.40,853,577,1430,989,0.69,0.34277,339,0.237062937,
00.03.41,860,648,1508,1075,0.71,0.36279,390,0.25862069,
00.03.42,894,616,1510,1012,0.67,0.39328,398,0.263576159,
00.03.43,729,553,1282,834,0.65,0.33693,281,0.219188768,
00.03.44,884,642,1526,1071,0.7,0.38749,415,0.271952818,
00.03.45,835,579,1414,1020,0.72,0.38725,395,0.279349364,
00.03.46,741,545,1286,950,0.74,0.38421,365,0.283825816,
00.03.47,858,590,1448,998,0.69,0.3978,397,0.274171271,
00.03.48,878,602,1480,1054,0.71,0.4203,443,0.299324324,
00.03.49,855,588,1443,1028,0.71,0.40759,419,0.29036729,
00.03.50,848,630,1478,1096,0.74,0.39325,431,0.291610284,
00.03.51,859,642,1501,1163,0.77,0.37919,441,0.293804131,
00.03.52,774,531,1305,785,0.6,0.38089,299,0.229118774,
00.03.53,836,664,1500,1119,0.75,0.42717,478,0.318666667,
00.03.54,738,604,1342,1004,0.75,0.42231,424,0.315946349,
