Row Labels,Sum of votes
00.07.30,768
00.07.31,944
00.07.32,843
00.07.33,911
00.07.34,869
00.07.35,809
00.07.36,667
00.07.37,844
00.07.38,752
00.07.39,1264
00.07.40,756
00.07.41,840
00.08.01,877
00.08.02,829
00.08.03,980
00.08.04,822
00.08.05,808
00.08.06,943
00.08.07,803
00.08.08,779
00.08.09,1097
00.08.10,461
00.08.11,1385
00.08.12,1522
00.08.13,734
00.08.14,746
00.08.15,1366
00.08.16,907
00.08.17,994
00.08.18,1073
00.08.19,1079
00.08.20,1210
00.08.21,711
00.08.22,1031
00.08.23,904
00.08.24,882
00.08.25,745
00.08.26,1538
00.08.27,1547
00.08.28,813
00.08.29,1175
00.08.30,1187
00.08.31,863
00.08.32,1524
00.08.33,631
00.08.34,820
00.08.35,1504
00.08.36,824
00.08.37,940
00.08.38,1544
00.08.39,1246
00.08.40,1118
00.09.01,1253
00.09.02,1467
00.09.03,1492
00.09.04,1579
00.09.05,1315
00.09.06,750
00.09.07,955
00.09.08,909
00.09.09,858
00.09.10,861
00.09.11,880
00.09.12,864
00.09.13,925
00.09.14,991
00.09.15,941
00.09.16,923
00.09.17,773
00.09.18,864
00.09.19,778
00.09.20,864
00.09.21,773
00.09.22,1368
00.09.23,709
00.09.24,853
00.09.25,746
00.09.26,854
00.09.27,765
00.09.28,758
00.09.29,1437
00.09.30,809
00.09.31,673
00.09.32,831
00.09.33,870
00.09.34,810
00.09.35,833
00.09.36,929
00.09.37,824
00.09.38,1999
00.09.39,1512
00.09.40,747
00.09.41,540
00.09.42,838
00.09.43,848
00.09.44,860
00.09.45,968
00.09.46,968
00.09.47,872
00.09.48,876
00.09.49,772
00.09.50,780
00.09.51,873
00.09.52,1543
00.09.53,609
00.09.54,856
00.09.55,849
00.09.56,1408
00.09.57,875
00.09.58,928
00.09.59,1644
00.09.60,813
00.09.61,1000
00.09.62,759
00.09.63,860
00.09.64,733
00.09.65,970
00.09.66,782
00.09.67,865
00.09.68,869
00.09.69,948
00.09.70,819
00.09.71,882
00.09.72,1401
00.09.73,925
00.09.74,832
00.09.75,770
00.09.76,1035
00.09.77,1509
00.09.78,1420
00.09.79,1480
00.09.80,1484
00.09.81,1514
00.10.01,988
00.10.02,895
00.10.03,847
00.10.04,1267
00.10.05,889
00.10.06,1682
00.10.07,1460
00.10.08,1558
00.10.09,1743
00.10.10,912
00.10.11,819
00.10.12,734
